#SampleID	Seq_Run	Myco_Rel_Abund	Latitude	Longitude	pH	Total_Alkalinity	Total_Hardness	Free_Chlorine	Total_Chlorine	Nitrite	Nitrate	Total_Iron	Source of Household Water	Showerhead Installation Time Frame	Frequency of Household Shower Usage	Frequency of Showerhead Cleaning	Showerhead Cleaning Solution	Showerhead Material	Interior Showerhead Finish	Showerhead System Setup	Does the Showerhead Have a Filter?	Showerhead Spray Pattern Description	How is Water Heated	Age of Hot Water Heater	Hot Water Heater Flush Frequency	Description
NTM00102	1	22.84	33.64	-117.83	6.6	140	425	0	0.75	0.05	0.5	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Nickel	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Gas Tankless Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00336	1	0	43.85	-69.63	6.2	60	71	0	0.5	0	0.5	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00491	1	19.29	39.03	-77.04	6.2	40	120	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00251	1	0.29	36.01	-78.57	6.8	180	120	0.5	0.5	0	0	0.15	Unknown/Other	Do Not Know	5-9 times/week	Once Every 6 Months	Bleach and Water	Metal	Do Not Know	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00287	1	3.39	40.86	-74.39	6.2	120	250	0.5	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed Showerhead w/ Additional Handheld Unit	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00165	1	0.76	42.74	-89.15	7.2	180	120	0	0	0	10	0.15	Well-Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Plastic	Chrome	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00394	1	13.8	30.22	-97.79	6.8	130	20/300	0	2	0	5	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Plastic	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00495	1	0.02	32.75	-117.19	7.2	120	250	0	1.5	0.1	1	0.15	Municipal Water System	Within the Last 6 Months	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Targeted Pattern Producing Sharp Pointed Spray	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00483	1	0.01	29.72	-82.40	6.2	40	50	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Plastic	No Finish	Fixed Showerhead w/ Additional Handheld Unit	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00461	1	18.33	39.57	-104.80	6.2	200	250	1	1	0	2	0.3	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00217	1	26.84	36.19	-81.67	6.2	120	120	0	0	2	0	0.15	Well-Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00178	1	43.95	27.20	-80.23	6.8	200	120	0.25	3	0	1	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00082	1	82.9	18.15	-65.44	6.2	40	120	0	0	0	1	0.5	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not Know	Drenching Forced Spray Ideal For Rinsing Shampoo	Electric Tankless Water Heater	NA	NA	Showerhead
